"n"	"m"	"B"	"max"	"err.max"	"per.95"	"err.95"	"per.90"	"err.90"
"2"	10	3	10	0.088888731768	0.079431512466	0.067717923506	0.063516011892	0.049577363202	0.058750640262
"3"	100	3	10	0.00960928661	0.02254430925	0.003934069377	0.008535563085	0.001604234262	0.004540389958
"4"	10	3	1e+05	0.089031426818	0.000715032762	0.068171425641	0.000563990887	0.050148621835	0.000560763035
"5"	20	3	1e+05	0.046715012613	0.000561641977	0.028408253648	0.000413856176	0.016303353838	0.000293112716
"6"	30	3	1e+05	0.031457173273	0.000427102641	0.015651022314	0.000337536632	0.007722402128	0.000241146136
"7"	40	3	1e+05	0.023675201677	0.000400763065	0.010606103717	0.000256148845	0.00474794531	0.000189783212
"8"	50	3	1e+05	0.01902385599	0.000332449438	0.008150068193	0.000226538735	0.00346864403	0.000137607428
"9"	60	3	1e+05	0.015899180936	0.000327934808	0.006712135197	0.000204074071	0.002796818728	0.00014158043
"10"	70	3	1e+05	0.013679759339	0.000297858749	0.005697440777	0.000192926509	0.002356773452	0.000116653392
"11"	80	3	1e+05	0.01196421328	0.000262876924	0.004931465724	0.0001660402	0.002029969273	0.000118039445
"12"	90	3	1e+05	0.010661878503	0.000234130349	0.004389199652	0.000142772592	0.00179316347	0.00011747722
"13"	20	3	10	0.046450228188	0.057264080206	0.028362661069	0.044202353511	0.016330745894	0.025787008294
"14"	100	3	1e+05	0.009584850624	0.000243941004	0.003921102693	0.000160637603	0.001604459252	0.000105029586
"15"	10	3	1e+07	0.089077826651	6.86761790000005e-05	0.068428120233	7.04787889999998e-05	0.050206094341	5.69266650000003e-05
"16"	20	3	1e+07	0.046080500612	5.47854820000003e-05	0.028327216138	4.5733304e-05	0.016309348101	3.34592689999999e-05
"17"	30	3	1e+07	0.031475028052	4.95016639999998e-05	0.015773871598	3.0465404e-05	0.007743824453	2.5165773e-05
"18"	40	3	1e+07	0.023507672221	3.93112710000003e-05	0.010619708613	2.56425790000001e-05	0.0047384864	1.7803998e-05
"19"	50	3	1e+07	0.019007067414	3.43374080000002e-05	0.008170879552	2.2794558e-05	0.00346383401	1.5642854e-05
"20"	60	3	1e+07	0.015892481303	2.93957710000001e-05	0.006693889909	2.1317033e-05	0.002784055887	1.3191063e-05
"21"	70	3	1e+07	0.013654897616	2.8301534e-05	0.005661363658	1.7791076e-05	0.002340217067	1.2107513e-05
"22"	80	3	1e+07	0.011920503522	2.798761e-05	0.004921566947	1.9634703e-05	0.002022665695	1.1989791e-05
"23"	90	3	1e+07	0.010628725548	2.378302e-05	0.004381232296	1.8058584e-05	0.001778018214	1.0515458e-05
"24"	30	3	10	0.031125951542	0.045369817622	0.015702755635	0.028071611879	0.007765994946	0.019629205404
"25"	100	3	1e+07	0.009590592498	2.69848539999999e-05	0.003935332322	1.5486616e-05	0.001598152934	1.0387066e-05
"26"	40	3	10	0.023547412911	0.035612371169	0.010623602513	0.019292036353	0.004715918355	0.008337268601
"27"	50	3	10	0.019019680516	0.031808874716	0.008149967951	0.015005650861	0.003465957913	0.005322080613
"28"	60	3	10	0.015863422133	0.028127319243	0.006684264114	0.012755071638	0.002785704272	0.005617182956
"29"	70	3	10	0.013650000315	0.021924497471	0.005672021394	0.006562260166	0.00233821126	0.003293698884
"30"	80	3	10	0.011938289161	0.024347511505	0.00492485385	0.014025892902	0.002025455394	0.002025455394
"31"	90	3	10	0.010642825852	0.02166270453	0.004378494093	0.008027150133	0.001783662429	0.002748174433
